group,type,specimen,strain,stress
F0,flat,1,0.004030769,0.0003383333
F0,flat,1,0.1678,0.02734102
F0,flat,1,0.3410462,0.08111731
F0,flat,1,0.5116923,0.1294644
F0,flat,1,0.6825231,0.1767165
F0,flat,1,0.8537846,0.2224064
F0,flat,1,1.024154,0.2672282
F0,flat,1,1.1956,0.3101254
F0,flat,1,1.365892,0.3523828
F0,flat,1,1.537662,0.3933319
F0,flat,1,1.7078,0.4332297
F0,flat,1,1.879354,0.4721326
F0,flat,1,2.0502,0.5099573
F0,flat,1,2.220985,0.5468432
F0,flat,1,2.392354,0.5815206
F0,flat,1,2.562539,0.6144702
F0,flat,1,2.734138,0.644925
F0,flat,1,2.904323,0.676102
F0,flat,1,3.076077,0.7062087
F0,flat,1,3.246338,0.7361829
F0,flat,1,3.417861,0.7657504
F0,flat,1,3.588846,0.7943331
F0,flat,1,3.759492,0.822369
F0,flat,1,3.930862,0.8488685
F0,flat,1,4.101077,0.8755912
F0,flat,1,4.272723,0.900519
F0,flat,1,4.442784,0.9240342
F0,flat,1,4.614508,0.9449233
F0,flat,1,4.784723,0.9619781
F0,flat,1,4.956354,0.9791256
F0,flat,1,5.127431,0.9891347
F0,flat,1,5.298031,1.011309
F0,flat,1,5.469354,1.03217
F0,flat,1,5.639431,1.052262
F0,flat,1,5.810954,1.072536
F0,flat,1,5.9814,1.091047
F0,flat,1,6.1532,1.106908
F0,flat,1,6.323262,1.108669
F0,flat,1,6.494815,1.086936
F0,flat,1,6.665661,1.066944
F0,flat,1,6.836523,0.9980446
F0,flat,1,7.007893,0.9887288
F0,flat,1,7.178,0.9851539
F0,flat,1,7.349646,0.9696243
F0,flat,1,7.519862,0.606028
F0,flat,1,7.567585,0.07828949
F0,flat,1,7.562908,0.0771391
F0,flat,1,7.561184,0.07751487
F0,flat,1,7.561062,0.07746807
F0,flat,1,7.561031,0.07728051
F0,flat,1,7.561031,0.07740064
F0,flat,1,7.561062,0.07733089
F0,flat,1,7.561062,0.07731795
F0,flat,1,7.561062,0.07733167
F0,flat,1,7.561062,0.07730295
F0,flat,1,7.561062,0.07731526
F0,flat,1,7.561062,0.07729949
F0,flat,1,7.561062,0.07729205
F0,flat,1,7.561062,0.07729577
F0,flat,1,7.561108,0.0772709
F0,flat,1,7.561108,0.07727769
F0,flat,1,7.561138,0.07727231
F0,flat,1,7.561138,0.07725628
F0,flat,1,7.561184,0.07727269
F0,flat,1,7.561184,0.07726051
F0,flat,1,7.561215,0.07726744
F0,flat,1,7.561215,0.07726602
F0,flat,1,7.561215,0.07726244
F0,flat,1,7.561215,0.07726026
F0,flat,1,7.561215,0.07724923
F0,flat,1,7.561215,0.07724731
F0,flat,1,7.561215,0.07724205
F0,flat,1,7.561215,0.07724256
F0,flat,1,7.561215,0.07722859
F0,flat,1,7.561215,0.07724051
F0,flat,1,7.561215,0.0772359
F0,flat,1,7.561215,0.07723026
F0,flat,1,7.561215,0.07722577
F0,flat,1,7.561215,0.07724179
F0,flat,1,7.561215,0.07723513
F0,flat,1,7.561215,0.07722987
F0,flat,1,7.561215,0.07723154
F0,flat,1,7.561215,0.07722269
F0,flat,1,7.561215,0.07721987
F0,flat,1,7.561215,0.07721987
F0,flat,1,7.561215,0.07721718
F0,flat,1,7.561215,0.07722141
F0,flat,1,7.561215,0.07720628
F0,flat,1,7.561215,0.07721
F0,flat,1,7.561215,0.07721756
F0,flat,1,7.561215,0.07720923
F0,flat,1,7.561215,0.07721577
F0,flat,1,7.561215,0.07720218
F0,flat,1,7.561215,0.07721538
F0,flat,1,7.561215,0.07720166
F0,flat,1,7.561215,0.07720705
F0,flat,1,7.561215,0.07720487
F0,flat,1,7.561215,0.07720244
F0,flat,1,7.561215,0.0772009
F0,flat,1,7.561215,0.07719718
F0,flat,1,7.561215,0.07719987
F0,flat,1,7.561215,0.07719872
F0,flat,1,7.561215,0.07720385
F0,flat,1,7.561215,0.07719987
F0,flat,1,7.561215,0.07719333
F0,flat,1,7.561215,0.0772
F0,flat,1,7.561215,0.07719103
F0,flat,1,7.561215,0.07719487
F0,flat,1,7.561215,0.07718679
F0,flat,1,7.561215,0.07718564
F0,flat,1,7.561215,0.07719526
F0,flat,1,7.561215,0.07718872
F0,flat,1,7.561215,0.0771859
F0,flat,1,7.561215,0.07719218
F0,flat,1,7.561215,0.07719218
F0,flat,1,7.561215,0.0771827
F0,flat,1,7.561215,0.07718295
F0,flat,1,7.561215,0.0771791
F0,flat,1,7.561215,0.07717795
F0,flat,1,7.561215,0.07717859
F0,flat,1,7.561215,0.07718077
F0,flat,1,7.561215,0.07718718
F0,flat,1,7.561215,0.07718577
F0,flat,1,7.561215,0.07718167
F0,flat,1,7.561215,0.07717962
F0,flat,1,7.561215,0.07718103
F0,flat,1,7.561215,0.07717308
F0,flat,1,7.561215,0.07718231
F0,flat,1,7.561215,0.07716705
F0,flat,1,7.561215,0.07718218
F0,flat,1,7.561215,0.07717436
F0,flat,1,0.06127692,0.02796641
F0,flat,1,0.2336462,0.0780809
F0,flat,1,0.4046308,0.1268779
F0,flat,1,0.5750769,0.1743951
F0,flat,1,0.7466923,0.2199081
F0,flat,1,0.9167077,0.264636
F0,flat,1,1.088385,0.3076758
F0,flat,1,1.258615,0.3495806
F0,flat,1,1.430523,0.3900527
F0,flat,1,1.600615,0.4286778
F0,flat,1,1.772108,0.4658915
F0,flat,1,1.943092,0.5017039
F0,flat,1,2.113585,0.5370706
F0,flat,1,2.285154,0.5712987
F0,flat,1,2.455138,0.6053761
F0,flat,1,2.626923,0.63826
F0,flat,1,2.797154,0.669983
F0,flat,1,2.968861,0.7003541
F0,flat,1,3.139307,0.7295169
F0,flat,1,3.310646,0.7581933
F0,flat,1,3.481708,0.7861909
F0,flat,1,3.652077,0.8133882
F0,flat,1,3.823723,0.840479
F0,flat,1,3.993708,0.8670904
F0,flat,1,4.165431,0.8929389
F0,flat,1,4.335493,0.9184509
F0,flat,1,4.5074,0.9432079
F0,flat,1,4.677738,0.9671988
F0,flat,1,4.849108,0.9908346
F0,flat,1,5.020323,1.014266
F0,flat,1,5.190692,1.037623
F0,flat,1,5.362231,1.060452
F0,flat,1,5.532138,1.083359
F0,flat,1,5.703661,1.10454
F0,flat,1,5.874339,1.125912
F0,flat,1,6.046015,1.146801
F0,flat,2,0.01850769,0.01723167
F0,flat,2,0.1454154,0.04817615
F0,flat,2,0.2742,0.08333795
F0,flat,2,0.4015231,0.1172133
F0,flat,2,0.5305385,0.1502913
F0,flat,2,0.6579077,0.1825056
F0,flat,2,0.7870769,0.2139937
F0,flat,2,0.914877,0.2455826
F0,flat,2,1.042815,0.2760663
F0,flat,2,1.1716,0.3068865
F0,flat,2,1.298785,0.3374082
F0,flat,2,1.427908,0.36727
F0,flat,2,1.555554,0.3970363
F0,flat,2,1.684369,0.4259652
F0,flat,2,1.812692,0.4550082
F0,flat,2,1.939877,0.483535
F0,flat,2,2.068969,0.5117311
F0,flat,2,2.196446,0.5395436
F0,flat,2,2.325692,0.5666932
F0,flat,2,2.453292,0.5938894
F0,flat,2,2.581538,0.6203768
F0,flat,2,2.710031,0.6466378
F0,flat,2,2.837354,0.6724328
F0,flat,2,2.966215,0.6977921
F0,flat,2,3.094123,0.7232065
F0,flat,2,3.223031,0.7480351
F0,flat,2,3.351123,0.7727953
F0,flat,2,3.478569,0.797135
F0,flat,2,3.607507,0.8213353
F0,flat,2,3.734831,0.8453767
F0,flat,2,3.864,0.8687497
F0,flat,2,3.991985,0.892099
F0,flat,2,4.119969,0.9148218
F0,flat,2,4.248415,0.9357504
F0,flat,2,4.375938,0.9572687
F0,flat,2,4.504954,0.9785361
F0,flat,2,4.632507,0.9998305
F0,flat,2,4.761446,1.020802
F0,flat,2,4.889692,1.041749
F0,flat,2,5.017185,1.061956
F0,flat,2,5.145738,1.081622
F0,flat,2,5.2736,1.100131
F0,flat,2,5.402277,1.118947
F0,flat,2,5.530416,1.137573
F0,flat,2,5.658538,1.155712
F0,flat,2,5.786723,1.17362
F0,flat,2,5.914554,1.191163
F0,flat,2,6.043369,1.208048
F0,flat,2,6.171154,1.224329
F0,flat,2,6.300062,1.236841
F0,flat,2,6.427923,1.248416
F0,flat,2,6.555754,1.262118
F0,flat,2,6.684462,1.276174
F0,flat,2,6.811907,1.290184
F0,flat,2,6.941046,1.303812
F0,flat,2,7.0688,1.317194
F0,flat,2,7.197046,1.330036
